Year,State,District,Pop_2024_Est,Total_Violence,Crime_Rate,Police_Vacancy_Rate,Spousal_Violence_Percent,Sought_Help_Percent
2021,Bihar,Purnea,3064997,161.0,5.252859953859661,0.33493574660633485,40.0,3.5
2021,Bihar,Rohtas,3403905,79.0,2.320863831393649,0.33493574660633485,40.0,3.5
2021,Bihar,Saharsa,2185760,32.0,1.4640216675206792,0.33493574660633485,40.0,3.5
2021,Bihar,Samastipur,4900800,94.0,1.9180541952334313,0.33493574660633485,40.0,3.5
2021,Bihar,Saran,4544641,195.0,4.2907679616497765,0.33493574660633485,40.0,3.5
2021,Bihar,Sheikhpura,731793,26.0,3.5529172867190586,0.33493574660633485,40.0,3.5
2021,Bihar,Sheohar,754682,23.0,3.0476412581723165,0.33493574660633485,40.0,3.5
2021,Bihar,Sitamarhi,3937110,117.0,2.9717229135076235,0.33493574660633485,40.0,3.5
2021,Bihar,Siwan,3830033,74.0,1.9320982351849185,0.33493574660633485,40.0,3.5
2021,Bihar,Supaul,2563437,36.0,1.404364530901286,0.33493574660633485,40.0,3.5
2021,Bihar,Vaishali,4019274,108.0,2.6870524378283243,0.33493574660633485,40.0,3.5
2021,Bihar,Economic Offences Unit,3064997,0.0,0.0,0.33493574660633485,40.0,3.5
2021,Bihar,Anti Terrorist Squad,3064997,0.0,0.0,0.33493574660633485,40.0,3.5
2021,Bihar,Total Districts ,3064997,3855.0,125.77500075856517,0.33493574660633485,40.0,3.5
2021,Chhattisgarh,Balod,1885744,39.0,2.068149229163662,0.2034342762063228,29.6,6.8
2021,Chhattisgarh,Balodbazar,1885744,61.0,3.2347975122816246,0.2034342762063228,29.6,6.8
2021,Chhattisgarh,Balrampur,2470964,105.0,4.249353693538231,0.2034342762063228,29.6,6.8
2021,Chhattisgarh,Bemetra,1885744,55.0,2.9166207077949076,0.2034342762063228,29.6,6.8
2021,Chhattisgarh,Bilaspur,439249,222.0,50.54080942699927,0.2034342762063228,29.6,6.8
2021,Chhattisgarh,Bilaspur,3063173,222.0,7.247386941579859,0.2034342762063228,29.6,6.8
2021,Chhattisgarh,Bizapur,1885744,9.0,0.4772652067300758,0.2034342762063228,29.6,6.8
2021,Chhattisgarh,Dantewara,1885744,13.0,0.6893830763878872,0.2034342762063228,29.6,6.8
2021,Chhattisgarh,Dhamtari,919748,38.0,4.131566472555526,0.2034342762063228,29.6,6.8
2021,Chhattisgarh,Durg,3845452,202.0,5.252958559878007,0.2034342762063228,29.6,6.8
2021,Chhattisgarh,Gariyaband,1885744,26.0,1.3787661527757744,0.2034342762063228,29.6,6.8
2021,Chhattisgarh,GRP Raipur,1885744,1.0,0.05302946741445287,0.2034342762063228,29.6,6.8
2021,Chhattisgarh,Jagdalpur,1885744,59.0,3.128738577452719,0.2034342762063228,29.6,6.8
2021,Chhattisgarh,Janjgir,1885744,111.0,5.886270883004268,0.2034342762063228,29.6,6.8
2021,Chhattisgarh,Jashpur,979419,77.0,7.861803783671748,0.2034342762063228,29.6,6.8
2021,Chhattisgarh,Kabirdham,1885744,51.0,2.704502838137096,0.2034342762063228,29.6,6.8
2021,Chhattisgarh,Kanker,1885744,44.0,2.333296566235926,0.2034342762063228,29.6,6.8
2021,Chhattisgarh,Kondagaon,1885744,14.0,0.7424125438023401,0.2034342762063228,29.6,6.8
2021,Chhattisgarh,Korba,1387636,89.0,6.4137857478474185,0.2034342762063228,29.6,6.8
2021,Chhattisgarh,Koriya,757754,80.0,10.55751602762902,0.2034342762063228,29.6,6.8
2021,Chhattisgarh,Mahasamund,1187667,43.0,3.6205434688342777,0.2034342762063228,29.6,6.8
2021,Chhattisgarh,Mungali,1885744,46.0,2.4393555010648313,0.2034342762063228,29.6,6.8
2021,Chhattisgarh,Narayanpur,160793,9.0,5.597258587127549,0.2034342762063228,29.6,6.8
2021,Chhattisgarh,Raigarh,1718081,101.0,5.878651821421691,0.2034342762063228,29.6,6.8
2021,Chhattisgarh,Raigarh,3029329,101.0,3.3340716706570994,0.2034342762063228,29.6,6.8
2021,Chhattisgarh,Raipur,4673452,249.0,5.32796742108403,0.2034342762063228,29.6,6.8
2021,Chhattisgarh,Rajnandgaon,1767702,115.0,6.505621422615351,0.2034342762063228,29.6,6.8
2021,Chhattisgarh,Sarguja,1885744,131.0,6.946860231293325,0.2034342762063228,29.6,6.8
2021,Chhattisgarh,Sukma,1885744,10.0,0.5302946741445287,0.2034342762063228,29.6,6.8
2021,Chhattisgarh,Surajpur,1885744,114.0,6.045359285247627,0.2034342762063228,29.6,6.8
2021,Chhattisgarh,Gaurela-Pendra-Marwari,1885744,15.0,0.7954420112167929,0.2034342762063228,29.6,6.8
2021,Chhattisgarh,Total Districts ,1885744,2129.0,112.89973612537015,0.2034342762063228,29.6,6.8
2021,Goa,North Goa,940709,16.0,1.7008447883458115,0.10972276454509958,8.3,8.0
2021,Goa,South Goa,736617,9.0,1.2218018318882133,0.10972276454509958,8.3,8.0
2021,Goa,CID,838663,1.0,0.11923740525097684,0.10972276454509958,8.3,8.0
2021,Goa,Total Districts ,838663,26.0,3.1001725365253985,0.10972276454509958,8.3,8.0
2021,Gujarat,Ahmedabad City,2894401,886.0,30.610824139433344,0.20521524716691156,17.0,1.5
2021,Gujarat,Ahmedabad Rural,2894401,24.0,0.8291871098717835,0.20521524716691156,17.0,1.5
2021,Gujarat,Amreli,1741318,77.0,4.421937865455937,0.20521524716691156,17.0,1.5
2021,Gujarat,Anand,2406656,58.0,2.409982980533986,0.20521524716691156,17.0,1.5
2021,Gujarat,Arvalli,2894401,21.0,0.7255387211378106,0.20521524716691156,17.0,1.5
2021,Gujarat,Banaskantha,2894401,90.0,3.1094516620191883,0.20521524716691156,17.0,1.5
2021,Gujarat,Bharuch,1783671,61.0,3.4199132014816636,0.20521524716691156,17.0,1.5
2021,Gujarat,Bhavnagar,3312419,97.0,2.928373493812226,0.20521524716691156,17.0,1.5
2021,Gujarat,Botad,2894401,7.0,0.24184624037927022,0.20521524716691156,17.0,1.5
2021,Gujarat,Chhotaudepur,2894401,20.0,0.6909892582264863,0.20521524716691156,17.0,1.5
2021,Gujarat,CID Crime,2894401,0.0,0.0,0.20521524716691156,17.0,1.5
2021,Gujarat,Dahod,2894401,16.0,0.552791406581189,0.20521524716691156,17.0,1.5
2021,Gujarat,Dang,2894401,1.0,0.03454946291132431,0.20521524716691156,17.0,1.5
2021,Gujarat,Devbhumi Dwarka,2894401,41.0,1.4165279793642969,0.20521524716691156,17.0,1.5
2021,Gujarat,Gandhinagar,1600515,47.0,2.936554796424901,0.20521524716691156,17.0,1.5
2021,Gujarat,Gir Somnath,2894401,33.0,1.1401322760737023,0.20521524716691156,17.0,1.5
2021,Gujarat,Jamnagar,2484136,44.0,1.771239577865302,0.20521524716691156,17.0,1.5
2021,Gujarat,Junagadh,3154544,94.0,2.9798284633214815,0.20521524716691156,17.0,1.5
2021,Gujarat,Kachchh East(G),2894401,78.0,2.6948581070832964,0.20521524716691156,17.0,1.5
2021,Gujarat,Kachchh West(B),2894401,78.0,2.6948581070832964,0.20521524716691156,17.0,1.5
2021,Gujarat,Kheda,2644867,41.0,1.5501724661391292,0.20521524716691156,17.0,1.5
