Year,State,District,spousal_violence_pct,sought_help_pct,justice_gap,gap_severity,crime_rate,police_vacancy_rate
2021,Bihar,Arwal,40.0,3.5,36.5,HIGH GAP,2.73,0.33
2021,Bihar,Aurangabad,40.0,3.5,36.5,HIGH GAP,3.08,0.33
2021,Bihar,Aurangabad,40.0,3.5,36.5,HIGH GAP,2.11,0.33
2021,Bihar,Bagaha,40.0,3.5,36.5,HIGH GAP,1.76,0.33
2021,Bihar,Banka,40.0,3.5,36.5,HIGH GAP,1.2,0.33
2021,Bihar,Begusarai,40.0,3.5,36.5,HIGH GAP,1.99,0.33
2021,Bihar,Bettiah,40.0,3.5,36.5,HIGH GAP,4.24,0.33
2021,Bihar,Kaimur(Bhabhua),40.0,3.5,36.5,HIGH GAP,1.55,0.33
2021,Bihar,Bhagalpur,40.0,3.5,36.5,HIGH GAP,3.32,0.33
2021,Bihar,Bhojpur,40.0,3.5,36.5,HIGH GAP,4.14,0.33
2021,Bihar,Buxar,40.0,3.5,36.5,HIGH GAP,3.62,0.33
2021,Bihar,Darbhanga,40.0,3.5,36.5,HIGH GAP,1.88,0.33
2021,Bihar,Gaya,40.0,3.5,36.5,HIGH GAP,3.88,0.33
2021,Bihar,Gopalganj,40.0,3.5,36.5,HIGH GAP,3.33,0.33
2021,Bihar,Jamalpur Railway,40.0,3.5,36.5,HIGH GAP,0.0,0.33
2021,Bihar,Jamui,40.0,3.5,36.5,HIGH GAP,2.22,0.33
2021,Bihar,Jehanabad,40.0,3.5,36.5,HIGH GAP,2.63,0.33
2021,Bihar,Katihar,40.0,3.5,36.5,HIGH GAP,3.34,0.33
2021,Bihar,Katihar Railway,40.0,3.5,36.5,HIGH GAP,0.03,0.33
2021,Bihar,Khagaria,40.0,3.5,36.5,HIGH GAP,2.09,0.33
2021,Bihar,Kishanganj,40.0,3.5,36.5,HIGH GAP,3.86,0.33
2021,Bihar,Lakhisarai,40.0,3.5,36.5,HIGH GAP,2.95,0.33
2021,Bihar,Madhepura,40.0,3.5,36.5,HIGH GAP,1.95,0.33
2021,Bihar,Madhubani,40.0,3.5,36.5,HIGH GAP,3.89,0.33
2021,Bihar,Motihari,40.0,3.5,36.5,HIGH GAP,7.9,0.33
2021,Bihar,Munger,40.0,3.5,36.5,HIGH GAP,3.24,0.33
2021,Bihar,Muzaffarpur,40.0,3.5,36.5,HIGH GAP,4.27,0.33
2021,Bihar,Muzaffarpur Railway,40.0,3.5,36.5,HIGH GAP,0.0,0.33
2021,Bihar,Nalanda,40.0,3.5,36.5,HIGH GAP,4.71,0.33
2021,Bihar,Naugachia,40.0,3.5,36.5,HIGH GAP,0.55,0.33
2021,Bihar,Nawadah,40.0,3.5,36.5,HIGH GAP,2.38,0.33
2021,Bihar,Patna,40.0,3.5,36.5,HIGH GAP,4.81,0.33
2021,Bihar,Patna Railway,40.0,3.5,36.5,HIGH GAP,0.0,0.33
2021,Bihar,Purnea,40.0,3.5,36.5,HIGH GAP,5.25,0.33
2021,Bihar,Rohtas,40.0,3.5,36.5,HIGH GAP,2.32,0.33
2021,Bihar,Saharsa,40.0,3.5,36.5,HIGH GAP,1.46,0.33
2021,Bihar,Samastipur,40.0,3.5,36.5,HIGH GAP,1.92,0.33
2021,Bihar,Saran,40.0,3.5,36.5,HIGH GAP,4.29,0.33
2021,Bihar,Sheikhpura,40.0,3.5,36.5,HIGH GAP,3.55,0.33
2021,Bihar,Sheohar,40.0,3.5,36.5,HIGH GAP,3.05,0.33
2021,Bihar,Sitamarhi,40.0,3.5,36.5,HIGH GAP,2.97,0.33
2021,Bihar,Siwan,40.0,3.5,36.5,HIGH GAP,1.93,0.33
2021,Bihar,Supaul,40.0,3.5,36.5,HIGH GAP,1.4,0.33
2021,Bihar,Vaishali,40.0,3.5,36.5,HIGH GAP,2.69,0.33
2021,Bihar,Economic Offences Unit,40.0,3.5,36.5,HIGH GAP,0.0,0.33
2021,Bihar,Anti Terrorist Squad,40.0,3.5,36.5,HIGH GAP,0.0,0.33
2021,Bihar,Total Districts ,40.0,3.5,36.5,HIGH GAP,125.78,0.33
2022,Bihar,Araria,40.0,3.5,36.5,HIGH GAP,2.94,0.33
2022,Bihar,Arwal,40.0,3.5,36.5,HIGH GAP,3.47,0.33
2022,Bihar,Aurangabad,40.0,3.5,36.5,HIGH GAP,3.53,0.33
2022,Bihar,Aurangabad,40.0,3.5,36.5,HIGH GAP,2.42,0.33
2022,Bihar,Bagaha,40.0,3.5,36.5,HIGH GAP,2.15,0.33
2022,Bihar,Banka,40.0,3.5,36.5,HIGH GAP,1.71,0.33
2022,Bihar,Begusarai,40.0,3.5,36.5,HIGH GAP,1.81,0.33
2022,Bihar,Bettiah,40.0,3.5,36.5,HIGH GAP,3.3,0.33
2022,Bihar,Kaimur(Bhabhua),40.0,3.5,36.5,HIGH GAP,3.05,0.33
2022,Bihar,Bhagalpur,40.0,3.5,36.5,HIGH GAP,2.35,0.33
2022,Bihar,Bhojpur,40.0,3.5,36.5,HIGH GAP,3.63,0.33
2022,Bihar,Buxar,40.0,3.5,36.5,HIGH GAP,2.9,0.33
2022,Bihar,Darbhanga,40.0,3.5,36.5,HIGH GAP,1.48,0.33
2022,Bihar,Gaya,40.0,3.5,36.5,HIGH GAP,4.55,0.33
2022,Bihar,Gopalganj,40.0,3.5,36.5,HIGH GAP,2.24,0.33
2022,Bihar,Jamalpur Railway,40.0,3.5,36.5,HIGH GAP,0.0,0.33
2022,Bihar,Jamui,40.0,3.5,36.5,HIGH GAP,1.63,0.33
2022,Bihar,Jehanabad,40.0,3.5,36.5,HIGH GAP,2.94,0.33
2022,Bihar,Katihar,40.0,3.5,36.5,HIGH GAP,3.34,0.33
2022,Bihar,Katihar Railway,40.0,3.5,36.5,HIGH GAP,0.0,0.33
2022,Bihar,Khagaria,40.0,3.5,36.5,HIGH GAP,2.03,0.33
2022,Bihar,Kishanganj,40.0,3.5,36.5,HIGH GAP,3.29,0.33
2022,Bihar,Lakhisarai,40.0,3.5,36.5,HIGH GAP,3.04,0.33
2022,Bihar,Madhepura,40.0,3.5,36.5,HIGH GAP,2.48,0.33
2022,Bihar,Madhubani,40.0,3.5,36.5,HIGH GAP,1.43,0.33
2022,Bihar,Motihari,40.0,3.5,36.5,HIGH GAP,6.92,0.33
2022,Bihar,Munger,40.0,3.5,36.5,HIGH GAP,2.23,0.33
2022,Bihar,Muzaffarpur,40.0,3.5,36.5,HIGH GAP,4.38,0.33
2022,Bihar,Muzaffarpur Railway,40.0,3.5,36.5,HIGH GAP,0.03,0.33
2022,Bihar,Nalanda,40.0,3.5,36.5,HIGH GAP,4.8,0.33
2022,Bihar,Naugachia,40.0,3.5,36.5,HIGH GAP,0.62,0.33
2022,Bihar,Nawadah,40.0,3.5,36.5,HIGH GAP,2.06,0.33
2022,Bihar,Patna,40.0,3.5,36.5,HIGH GAP,5.97,0.33
2022,Bihar,Patna Railway,40.0,3.5,36.5,HIGH GAP,0.0,0.33
2022,Bihar,Purnea,40.0,3.5,36.5,HIGH GAP,4.63,0.33
2022,Bihar,Rohtas,40.0,3.5,36.5,HIGH GAP,2.03,0.33
2022,Bihar,Saharsa,40.0,3.5,36.5,HIGH GAP,1.74,0.33
2022,Bihar,Samastipur,40.0,3.5,36.5,HIGH GAP,2.71,0.33
2022,Bihar,Saran,40.0,3.5,36.5,HIGH GAP,3.56,0.33
2022,Bihar,Sheikhpura,40.0,3.5,36.5,HIGH GAP,4.51,0.33
2022,Bihar,Sheohar,40.0,3.5,36.5,HIGH GAP,3.05,0.33
