Year,prev_year,State,District,current_crime_rate,prev_crime_rate,yoy_absolute_change,yoy_percent_change,trend_direction
2024,2023,Arunachal Pradesh,Namsai,5.3,0.0,5.3,,WORSENING
2024,2023,Arunachal Pradesh,Subansiri Upper,7.95,2.65,5.3,199.99,WORSENING
2024,2023,Chhattisgarh,Mahasamund,8.25,2.95,5.3,179.95,WORSENING
2022,2021,West Bengal,Malda,20.48,15.18,5.3,34.89,WORSENING
2022,2021,Himachal Pradesh,Kinnaur,6.2,1.03,5.17,499.78,WORSENING
2023,2022,Uttar Pradesh,Firozabad,24.92,19.77,5.15,26.04,WORSENING
2023,2022,Rajasthan,Bikaner,30.83,25.71,5.12,19.9,WORSENING
2022,2021,Uttar Pradesh,Bareilly,24.24,19.14,5.1,26.66,WORSENING
2024,2023,Madhya Pradesh,Alirajpur,9.9,4.89,5.01,102.43,WORSENING
2023,2022,Odisha,Bhadrak,12.82,7.97,4.85,60.93,STABLE
2024,2023,Arunachal Pradesh,Lower Dibang Valley,6.43,1.61,4.82,299.89,STABLE
2022,2021,Punjab,CP Ludhiana,16.75,11.94,4.81,40.29,STABLE
2023,2022,West Bengal,Asansol-Durgapur PC,11.27,6.58,4.69,71.16,STABLE
2022,2021,Himachal Pradesh,Bilaspur,5.24,0.59,4.65,791.72,STABLE
2023,2022,Haryana,Rewari,29.94,25.3,4.64,18.32,STABLE
2024,2023,Mizoram,Saiha,6.15,1.54,4.61,300.12,STABLE
2023,2022,Odisha,Balasore,15.26,10.68,4.58,42.88,STABLE
2022,2021,Andhra Pradesh,Srikakulam,12.55,7.98,4.57,57.31,STABLE
2022,2021,Rajasthan,Jaipur South,19.48,15.01,4.47,29.79,STABLE
2023,2022,Uttar Pradesh,Sidharthnagar,6.25,1.81,4.44,244.48,STABLE
2023,2022,Mizoram,Lawngtlai,4.43,0.0,4.43,,STABLE
2023,2022,Arunachal Pradesh,Siang East,5.3,0.88,4.42,499.97,STABLE
2022,2021,Arunachal Pradesh,Siang West,7.07,2.65,4.42,166.78,STABLE
2022,2021,Jammu & Kashmir,Ganderbal,9.65,5.26,4.39,83.38,STABLE
2023,2022,Odisha,Kandhamal,19.45,15.06,4.39,29.12,STABLE
2022,2021,Uttar Pradesh,Varanasi Commissionarate,18.5,14.16,4.34,30.66,STABLE
2023,2022,Madhya Pradesh,Dewas,11.23,6.9,4.33,62.86,STABLE
2022,2021,D&N Haveli and Daman & Diu,D&N Haveli,10.01,5.72,4.29,75.01,STABLE
2024,2023,Himachal Pradesh,Sirmaur,10.34,6.07,4.27,70.28,STABLE
2022,2021,Haryana,Kurukshetra,35.43,31.19,4.24,13.6,STABLE
2023,2022,Uttar Pradesh,Banda,16.87,12.66,4.21,33.24,STABLE
2023,2022,Uttar Pradesh,Gorakhpur,18.45,14.25,4.2,29.43,STABLE
2022,2021,Rajasthan,Sawai Madhopur,28.52,24.35,4.17,17.12,STABLE
2024,2023,Chhattisgarh,Sarguja,10.23,6.1,4.13,67.75,STABLE
2022,2021,Madhya Pradesh,Burhanpur,16.98,12.85,4.13,32.13,STABLE
2022,2021,Madhya Pradesh,Singrauli,15.57,11.44,4.13,36.11,STABLE
2022,2021,Maharashtra,Hingoli,15.21,11.08,4.13,37.29,STABLE
2023,2022,Arunachal Pradesh,Anjaw,4.11,0.0,4.11,,STABLE
2022,2021,Uttar Pradesh,Gorakhpur,14.25,10.14,4.11,40.49,STABLE
2023,2022,Madhya Pradesh,Betul,8.72,4.64,4.08,88.07,STABLE
2024,2023,Meghalaya,Garo Hills West,5.71,1.68,4.03,239.93,STABLE
2024,2023,Meghalaya,Khasi Hills Eastern West,4.03,0.0,4.03,,STABLE
2023,2022,Uttar Pradesh,Sitapur,10.9,6.88,4.02,58.33,STABLE
2023,2022,Delhi,Dwarka,58.27,54.3,3.97,7.3,STABLE
2022,2021,Delhi,Outer North,34.38,30.41,3.97,13.05,STABLE
2023,2022,Odisha,Koraput,16.2,12.23,3.97,32.49,STABLE
2022,2021,Madhya Pradesh,Sheopur,10.49,6.57,3.92,59.58,STABLE
2022,2021,Maharashtra,Beed,19.75,15.83,3.92,24.75,STABLE
2022,2021,Tripura,Dhalai,9.2,5.29,3.91,73.99,STABLE
2022,2021,Maharashtra,Latur,15.2,11.3,3.9,34.48,STABLE
2022,2021,Jharkhand,Pakur,8.5,4.64,3.86,83.37,STABLE
2023,2022,Odisha,Bolangir,11.23,7.45,3.78,50.83,STABLE
2024,2023,Himachal Pradesh,Shimla,7.16,3.42,3.74,109.45,STABLE
